r,model,larch,diff
7.148350471547088e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.179030087304802e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.209709703062514e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.240389318820228e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.271068934577940e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.301748550335653e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.332428166093366e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.363107781851078e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.393787397608791e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.424467013366504e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.455146629124217e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.485826244881930e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.516505860639643e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.547185476397355e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.577865092155069e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.608544707912781e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.639224323670494e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.669903939428207e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.700583555185919e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.731263170943633e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.761942786701345e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.792622402459058e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.823302018216771e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.853981633974484e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.884661249732196e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.915340865489910e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.946020481247622e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
7.976700097005335e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.007379712763047e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.038059328520761e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.068738944278474e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
8.099418560036186e0,0.000000000000000e0,0.000000000000000e0,0.000000000000000e0
